A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
,,4 x GeForce GTX 1080 ltd.,,LT GTX1080x4 ltd.,0.03,,240,848.65,,,,EUR,0.8704,32.912,GeForce GTX 1080,4,Xeon E5-2609 v4,2,64,SSD,480,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb. Special price till end of ...",91,,
,,8 x GeForce GTX 1080,,LT GTX1080x8,0.09,,504.25,2017,,,,EUR,1.408,65.824,GeForce GTX 1080,8,Xeon E5-2630 v4,2,128,SSD,960,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",92,,
,,2 x P100,,LT P100x2,0.04,,403.2,1768.7,,,,EUR,1.408,18.68,P100,2,Xeon E5-2630 v4,2,128,SSD,960,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",93,,
,,2 x V100nvlink,,LT V100x2NVlink,0.09,,466.35,1866,,,,EUR,1.408,28.056,V100,2,Xeon Silver 4114,2,128,SSD,960,,,40/1,,,"Included Internet traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,10 &euro;/Gb.",94,,
The University of Tokyo,http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_intro.html,Reedbush-H Personal (educational),http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU personal,,,,,138888.8889,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,1000,,,109.12/,6912,,"For individuals from educational or public organisations. Max 2 nodes. Included (17280/2.5=)6912 node hours if 1 node is used, 3456 node hours if more than 1 node is used by a parallel job.",98,,
,,Reedbush-H (educational),http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU edu,,,,,277777.7778,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,13824,,"For groups from educational or public organisations. Included 13824 node hours if 1 node is used, 6912 node hours if 2-4 nodes are used by a parallel job.",99,,
,,Reedbush-H reviewed (educational),http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU rev edu,,,,,166666.6667,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,For groups from educational or public organisations. Included 8640 node hours. Must pass review prior to usage. 4320 node hours if a parallel job used more nodes than applied for.,100,,
,,Reedbush-H reviewed,http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU rev,,,,,200000,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,101,,
,,Reedbush-H dedicated reviewed (educational),http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU ded. rev edu,,,,,250000,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,102,,
,,Reedbush-H dedicated reviewed,http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_course.html,TU ded. rev,,,,,300000,,,JPY,2.4192,18.68,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,103,,
MS Azure,https://azure.microsoft.com/en-us/pricing/details/virtual-machines/linux/,NC6,,MS NC6,,0.9,,,,,,USD,0.2496,4.37,K80,0.5,Xeon E5-2690 v3,0.25,56,SSD,340,,,,,,Prices for West US 2 region. Charged per minute. 1 GPU in specification is 1/2 of K80 board.,112,,
,,NC12,,MS NC12,,1.8,,,,,,USD,0.4992,8.74,K80,1,Xeon E5-2690 v3,0.5,112,SSD,680,,,,,,Prices for West US 2 region. Charged per minute. ,113,,
,,NC24,,MS NC24,,3.6,,,,,,USD,0.9984,17.48,K80,2,Xeon E5-2690 v3,1,224,SSD,1440,,,,,,Prices for West US 2 region. Charged per minute. ,114,,
,,NC24r,,MS NC24r,,3.96,,,,,,USD,0.9984,17.48,K80,2,Xeon E5-2690 v3,1,224,SSD,1440,,,Infiniband/,,,Prices for West US 2 region.. Charged per minute. RDMA capable.,115,,
,,NV6,,MS NV6,,1.24,,,,,,USD,0.2496,9.65,M60,1,Xeon E5-2690 v3,0.25,56,SSD,340,,,,,,Prices for West US 2 region. Charged per minute. ,116,,
,,NV12,,MS NV12,,2.48,,,,,,USD,0.4992,19.3,M60,2,Xeon E5-2690 v3,0.5,112,SSD,680,,,,,,Prices for West US 2 region. Charged per minute. ,117,,
,,NV24,,MS NV24,,4.97,,,,,,USD,0.9984,38.6,M60,4,Xeon E5-2690 v3,1,224,SSD,1440,,,,,,Prices for West US 2 region. Charged per minute. ,118,,
Google,https://cloud.google.com/compute/docs/machine-types,8c52mK80,,GL 8c52mK80,,0.99,,,,,,USD,0.2816,4.37,K80,0.5,,8,52,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core.",127,,
,,12c78mK80x2,,GL 12c78mK80x2,,1.69,,,,,,USD,0.4224,8.74,K80,1,,12,78,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",128,,
,,24c156mK80x4,,GL 24c156mK80x4,,3.33,,,,,,USD,0.8448,17.48,K80,2,,24,156,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",129,,
